title,new title,papago title,google title,pororo title
"""'미스터 션샤인' 변요한, 김태리와 같은 양복 입고 학당 방문! 이유는?""",미스터 션샤인 변요한 김태리와 같은 양복 입고 학당 방문 이유는,제가 선샤인 변요한 김태리와 같은 옷을 입은 이유는...,"미스터 미스터 샤인, 김태리와 같은 양복을 방문하는 이유",선샤인 씨가 변요한 김태리와 같은 정장을 입고 학교를 방문한 이유는 그 때문이다.
"""[SC현장]""""극사실주의 현실♥""""…'가장 보통의 연애' 김래원X공효진, 16년만의 랑데부(종합)""",극사실주의 현실 가장 보통의 연애 김래원X공효진 16년만의 랑데부,극사실주의. 가장 흔한 관계. 김래원X공효진 씨. 16년 후 랑데부.,영화 현실 현실 대부분의 정상적인 사랑 김레 던스 엑상효진 16 년,"16년 만의 로맨틱한 현실, 김래원 X공효진"
"""손연재, 리듬체조 학원 선생님 """"하고 싶은 일 해서 행복하다""""""",손연재 리듬체조 학원 선생님 하고 싶은 일 해서 행복하다.,,나는 동생의 리듬 선생님을해야해서 기쁘게 생각합니다.,리듬체조연구소 손연재가 하고 싶은 일을 하면서 기쁘다.
"""'섹션TV' 김해숙 """"'허스토리' 촬영 후 우울증 얻었다""""""",김해숙 허스토리 촬영 후 우울증 얻었다.,저는 김해숙 작가의 허스토리 촬영 후 우울증이 생겼습니다.,Kim HWA 역사 후 우울증을 얻으십시오.,김해숙의 이야기를 촬영한 뒤 우울했다.
"""[단독] 임현주 아나운서 “‘노브라 챌린지’ 방송 덕에 낸 용기, 자연스런 논의의 창 됐으면” (인터뷰)""",임현주 아나운서 노브라 챌린지 방송 덕에 낸 용기 자연스런 논의의 창 됐으면,임현주 아나운서의 NOBRA CHANGE 덕분에 자연스러운 논의가 됐으면 좋겠다.,임현 주 아나운서 노 브라 도전 방송 오리,임현주 아나운서의 노브라 챌린지 방송이 만든 자연스러운 토론이라면
"""샤이니 온유, 클럽 강제추행 '무혐의' 처분 받았다""",샤이니 온유 클럽 강제추행 무혐의 처분 받았다.,그는 샤이니 ONEW 클럽의 강제 성추행 혐의를 받았다.,반짝이는 오니 클럽은 강요 받아야합니다.,샤이니 온유클럽이 강제추행 혐의로 무혐의 처분을 받았다.
"""[POP이슈]'프듀2' 김사무엘 父, 멕시코서 숨진 채 발견→타살 의혹 제기→애도 물결""",프듀2 김사무엘 부 멕시코서 숨진 채 발견 타살 의혹 제기 애도 물결,생산자 2김 사무엘 부 죽은 멕시코에서 살인의 의혹을 제기를 발견했다.,"푸두 2 김모엘 구매 멕시코,","제2, 김사무엘, 멕시코 살인 의혹에 대한 애도의 물결"
"""슈, 동안미모+아찔한 수영복 자태로 시선강탈 """"밥을 먹을 수가 없네""""""",슈 동안미모 아찔한 수영복 자태로 시선강탈 밥을 먹을 수가 없네,나는 내 잘생긴 얼굴로 눈길을 끄는 쌀을 먹을 수 없습니다.,나는 신발 동안 언니에 내 시선을 먹을 수 없다.,수영복을 입고 눈길을 끄는 식사를 먹을 수 없다
"""AOA 지민, 앙상한 몸매·건강이상설 직접 해명 """"건강합니다"""" [공식입장]""",AOA 지민 앙상한 몸매 건강이상설 직접 해명 건강합니다.,AOA 지민의 마른 몸매가 좋습니다.,AOA JI Min의 건강한 신체 건강한 상업 건강한 건강.,나는 AOA 지민의 강한 몸 건강 이상에 대해 스스로 설명하는 것이 건강하다.
"""""""이 정도면 신드롬""""..'연예인들의 연예인' 양준일, 이지혜→김이나→신현준도 응원 [종합]""",이 정도면 신드롬 연예인들의 연예인 양준일 이지혜 김이나 신현준도 응원,"증후군의 연예인들은 양용은은 전일 이 씨는 지혜, 김과 신 현준이.","이것은 Sindrome 유명 인사들의 유명 인사입니다, Lee Ji Hye Kim,","이 시점에서 양준일, 이지혜, 김, 신현준 증후군 연예인들도 응원을 하고 있다."
