title,comment,bias,hate,google title,google comment
미스터 션샤인 변요한 김태리와 같은 양복 입고 학당 방문 이유는,김태리 정말 연기잘해 진짜,none,none,"미스터 션샤인 변요한, 김태리와 같은 양복을 입고 학교를 찾은 이유",김태리는 연기를 정말 잘한다.
극사실주의 현실 가장 보통의 연애 김래원X공효진 16년만의 랑데부,공효진 발연기나이질생각이읍던데 왜계속주연일까,none,hate,"극사실주의 현실 가장 평범한 로맨스 김래원X공효진, 16년 만의 만남",공효진 연기 늙어가는데 내가 계속 주연을 맡는 이유는?
손연재 리듬체조 학원 선생님 하고 싶은 일 해서 행복하다.,누구처럼 돈만 밝히는 저급인생은 살아가지마시길~~ 행복은 머니순이 아니니깐 작은거에 감사하고 항상 좋은일만 가득하길~,others,hate,손연재 리듬체조학원 선생님 하고 싶은 일을 해서 행복합니다.,남들처럼 돈만 공개하는 하찮은 삶을 살지 마세요~~ 행복은 돈순이 아니니 작은것에 감사하고 항상 좋은일만 가득하세요~
김해숙 허스토리 촬영 후 우울증 얻었다.,일본 축구 져라,none,none,김해숙은 영화 '그녀의 이야기' 촬영 후 우울증에 걸렸다.,일본 축구를 잃다
임현주 아나운서 노브라 챌린지 방송 덕에 낸 용기 자연스런 논의의 창 됐으면,난 절대로 임현주 욕하는인간이랑은 안논다 @.@,none,none,임현주 아나운서 노브라 챌린지 방송으로 자연스러운 토론의 장이 되었으면 합니다,임현주 욕하는 사람이랑 절대 안놀아요 @.@
샤이니 온유 클럽 강제추행 무혐의 처분 받았다.,만진건 변하지 않는다 아이돌은 아이돌 좋아하는 여자들한테 이미지가 생명인데 얜 바닥쳤고 같이하는 멤버들도 끼리끼리로 보일듯ㅋㅋㅋㅋ,others,hate,샤이니 온유클럽이 성추행 혐의에 대해 무죄를 선고받았다.,만진다고 변하지 않는 아이돌 좋아하는 여자들에게 아이돌 이미지는 중요한데 날씬하고 같이 일하는 멤버들이 서로 같다ㅋㅋㅋㅋㅋ
프듀2 김사무엘 부 멕시코서 숨진 채 발견 타살 의혹 제기 애도 물결,연예계에 외국인노동자 많네..,others,hate,프로듀스2 김사무엘부가 멕시코에서 숨진 채 발견됐다.,연예계에는 외국인 노동자가 많다.
슈 동안미모 아찔한 수영복 자태로 시선강탈 밥을 먹을 수가 없네,아이는 대부분 엄마가 원해서낳고 독박육아하고남편은 그냥 따라고는 수준!싫은 내색도 못하고 심지어 부담스러워하더라!,gender,hate,슈의 젊음 미모가 수영복 포즈로 눈부셔서 못 먹겠다.,"대부분의 아이들은 엄마가 원해서 태어나고, 혼자 아이를 키우고, 남편은 그저 따를 뿐입니다!"
AOA 지민 앙상한 몸매 건강이상설 직접 해명 건강합니다.,먼기사를 기대하고 사진을 올리는지....관종,none,hate,"AOA 지민의 늘씬한 몸매, 건강 이상 징후 직접 해명 건강하다.",먼 기사를 기대하며 사진을 올리는 건가....
이 정도면 신드롬 연예인들의 연예인 양준일 이지혜 김이나 신현준도 응원,개그맨 김경민 닮은다고 나만 느낌?,none,none,"이 정도면 신드롬의 연예인들도 양준일, 이지혜, 김, 신현준 등 연예인들을 응원하고 있다.",개그맨 김경민 느낌나는건 나뿐인가?
삭발 완료 두데 김인석 약속도 화끈하게 지키는 남자,역시 머리빨도 무시 못하는거임,none,none,머리를 밀었는데도 김인석과의 약속을 지키는 남자,머리카락도 무시 못합니다.
올해 초 교제 여성과 재혼 오만석 싱글대디 새출발,한동안 곧휴가 즐겁겠구나 부럽다 만석아,gender,hate,"올해 초 사귄 여자와 재혼한 오만석, 싱글대디로 새롭게 출발",한동안은 즐거운 휴가가 될 것입니다. 부럽다 만석아
배가본드 배수지 이승기 죽음에 오열 이승기 살아서 지켜봤다.,이정도면 드라마가 아니라 블럭 버스터급영화~~ 왠쥐 베본2가 나올지도.,none,none,배가본드 배수지 이승기가 죽고 이승기가 살아서 지켜봤다.,이러면 드라마가 아니라 대작영화야~~ 아마 비본2가 나오겠지.
김미화 평창올림픽 개막식 중계 논란 신선VS부적절,국민들 대다수가 김미화씨의 진행능력에 감탄했다는데? 여기 비판하는 댓글은 다 블랙리스트 옹호충인가?,others,hate,김미화 평창올림픽 개막식 방송 논란 신선 vs 부적절,대다수의 국민들이 김미화의 지휘력에 감탄했을까요? 여기 블랙리스트 옹호자들을 비판하는 댓글이 다 있나요?
홍자 지역 비하 논란 사과 진심 사과 반성,홍자가 그말을 진심으로 했다는 식으로 몰아가네...?!전라도는 상종을 못할 인갈들.,others,hate,"비난에 홍자지역 사과, 진심어린 사과와 반성",홍자가 진짜로 그런 말을 했다고 생각하게 만드는거야...?!
부모님 스트레스다 편스토랑 이혜성 전현무와 공개 열애 고충 고백,서울대 이혜성 >>>>>> 넘사 >>>>>>> 동덕여대 한혜진. 전현무도 결혼할 나인데 현명하게 판단한거임,gender,hate,"부모 스트레스, 안주식당 이혜성·전현무와의 열애 고충 고백",서울대학교 이혜성 >>>>>> 설렘 >>>>>>> 동덕여대 한혜진. 전현무도 결혼할 사람인데 현명한 선택을 했다.
아스달 연대기 장동건 김옥빈 들끓는 욕망커플 눈물범벅 칼끝 대립,김지원빼고 다른 배우들 다 발연기같음....,none,none,아스달 연대기 장동건-김옥빈 욕망을 본 커플 눈물 흠뻑 칼날,김지원 빼고 다른 배우들은 다 연기...
허안나 예비신랑 과 행복한 웨딩사진 술 마시다 고백,우리나라 의학기술의 발달은 실로 놀랍다,none,none,"허안나 예비신부와 함께한 행복한 웨딩촬영, 음주고백",우리나라 의료기술의 발전은 정말 놀랍습니다.
서유리 최병길 결혼 발표 최초 공개 쏟아진 비스,결혼 축하합니다~ 행복하세요,none,none,서유리와 최병길의 결혼 소식이 가장 먼저 공개됐다.,당신의 결혼을 축하
이승기X심은경 궁합 100만 돌파 로맨스 잔혹사 끊었다.,월트디즈니 만화를 보는듯...,none,none,이승기X심은경의 궁합이 100만 로맨스 잔혹성을 돌파했다.,마치 월트 디즈니 만화를 보는 것 같습니다.
짠내투어 박나래 베테랑 여행설계자 1년 반만 하차 쏟아지는 아쉬움,박명수는? 솔직히 존재의 이유를 못찾겠네,none,hate,"솔티투어 베테랑 여행디자이너 박나래, 1년 반 만에 출국, 아쉬움 쏟아",박명수는 누구? 솔직히 존재의 이유를 찾지 못해
속도위반 아니에요 김민영 서주원 이상형 결혼 성공한 팬,솔직히 개듣보잡 아님?,none,hate,과속 위반이 아니다.,솔직히 말해서 개소리 아니야?
중관계자 판빙빙 조사받고 귀가한 지 한참 됐다.,무슨상관이냐고 기자양반ㅠ,none,none,판빙빙 중앙관료의 조사를 받고 오랜만에 귀국했다.,"무슨 일이야, 기자?"
안경 벗으면 차은우야 한끼줍쇼 이경규 성형 수술 후 자신감,경규옹이 저 맥락에서 비교 대상을 차은우로 한건 그만큼 차은우를 대표적인 미남이라고 생각한다는 방증이지,none,none,안경 벗으면 차은우 밥 먹자. 이경규 성형 후 자신감,그런 맥락에서 경규옹이 차은우를 비교 대상으로 삼았다는 것은 그가 차은우를 대표적인 미남으로 생각한다는 증거다.
누구냐 말도 안돼 신동 31kg 감량 성공 아이돌st 증명사진 공개,살빼니까 왜케 느끼하지ㅋㅋ,none,none,누구야? 신동 31kg 감량 성공 아이돌 성우 증명사진 공개,살이 빠지는데 왜 기분이 좋지?
11일 정상녹화 나혼자산다 전현무 한혜진 빠진 후폭풍 극복할까,장도연 양세형 추가 투입 케미 좋아요 나래와 좋아요,none,none,"11일 일반 녹화, 나혼자 산다, 전현무, 한혜진, 실종 후 폭풍우를 이겨낼 수 있을까?",장도연 양세형 추가입력 케미스트리 좋아 나래 좋아해
전지현 4년 만에 스크린 컴백 가시권 최동훈 감독 신작 마지막 조율,류준열 좀 그만....,none,hate,"전지현, 4년 만에 스크린 복귀, 최동훈 감독 신작, 최종 조정",류준열 그만...
키스신 보고 맥주 드링킹 김소연 이상우 알콩달콩 럽스타그램,연기라고해도 그거 정말 남편 입장에서 굉장한 트라우마지..,none,none,키스신 보고 맥주마시는 김소연 이상우 러브스타그램,연기라고 해도 남편입장에서는 정말 트라우마..
안재현 구혜선 측 여러 문제로 결혼 생활 유지 불가 상의 끝 이혼 결정,여자가 나이 많으면 이혼율 높은거 RG?,gender,hate,"안재현·구혜선 측, 여러 문제로 이혼 결정","RG, 여성이 나이가 들수록 이혼율이 더 높다?"
아육대 측 츄 머리카락 잡은 무례 범해 사과문 사칭 공식 사과,헐.......난 금주의 가수왕...뭐 이런것 처럼 이달의 소녀도 뭘 뽑는건줄 알았네...그룹이름이 이달의 소녀?? ㅋㅋ,none,hate,ISAC 쪽에서 추의 머리카락을 잡아 무례한 행동에 대한 사과를 가장한 공식 사과,헐...이번주 가수다...이렇게 이달의 소녀가 뽑힐줄알았는데...그룹명은 이달의 소녀?? ㅋ ㅋ ㅋ
