title,comment,bias,hate,papago title,papago comment
미스터 션샤인 변요한 김태리와 같은 양복 입고 학당 방문 이유는,김태리 정말 연기잘해 진짜,none,none,제가 선샤인 변요한 김태리와 같은 옷을 입은 이유는...,Kim Tae Ri는 연기를 정말 잘해요.
극사실주의 현실 가장 보통의 연애 김래원X공효진 16년만의 랑데부,공효진 발연기나이질생각이읍던데 왜계속주연일까,none,hate,극사실주의. 가장 흔한 관계. 김래원X공효진 씨. 16년 후 랑데부.,공효진이 연기를 못 해서 질까 봐... 왜 자꾸 주인공으로 나오는 거죠?
손연재 리듬체조 학원 선생님 하고 싶은 일 해서 행복하다.,누구처럼 돈만 밝히는 저급인생은 살아가지마시길~~ 행복은 머니순이 아니니깐 작은거에 감사하고 항상 좋은일만 가득하길~,others,hate,리듬체조 학원 선생님인 손연재 선생님으로서 하고 싶은 일을 할 수 있어 기쁘다.,남들처럼 돈만 밝히는 천한 생활을 하지 마세요. 행복은 우편환의 문제가 아니니 작은 것에 감사하고 항상 좋은 일만 가득하세요.
김해숙 허스토리 촬영 후 우울증 얻었다.,일본 축구 져라,none,none,저는 김해숙 작가의 허스토리 촬영 후 우울증이 생겼습니다.,일본 축구를 지자!
임현주 아나운서 노브라 챌린지 방송 덕에 낸 용기 자연스런 논의의 창 됐으면,난 절대로 임현주 욕하는인간이랑은 안논다 @.@,none,none,임현주 아나운서의 NOBRA CHANGE 덕분에 자연스러운 논의가 됐으면 좋겠다.,임현주 욕하는 사람하고는 절대 안 놀아.@
샤이니 온유 클럽 강제추행 무혐의 처분 받았다.,만진건 변하지 않는다 아이돌은 아이돌 좋아하는 여자들한테 이미지가 생명인데 얜 바닥쳤고 같이하는 멤버들도 끼리끼리로 보일듯ㅋㅋㅋㅋ,others,hate,그는 샤이니 ONEW 클럽의 강제 성추행 혐의를 받았다.,"만지는 건 변하지 않아요. 아이돌을 좋아하는 여자들에게는 아이돌의 이미지가 중요한데, 그는 빠져있고, 함께 있는 멤버들도 서로 닮아 보일 것이다."
프듀2 김사무엘 부 멕시코서 숨진 채 발견 타살 의혹 제기 애도 물결,연예계에 외국인노동자 많네..,others,hate,생산자 2김 사무엘 부 죽은 멕시코에서 살인의 의혹을 제기를 발견했다.,외국 직원들의 상당수가 연예계에 있다.
슈 동안미모 아찔한 수영복 자태로 시선강탈 밥을 먹을 수가 없네,아이는 대부분 엄마가 원해서낳고 독박육아하고남편은 그냥 따라고는 수준!싫은 내색도 못하고 심지어 부담스러워하더라!,gender,hate,나는 내 잘생긴 얼굴로 눈길을 끄는 쌀을 먹을 수 없습니다.,대부분의 아이들은 엄마가 원해서 태어나고 남편은 그냥 원해서 태어난다고!그는 심지어 그것이 싫다는 것을 보여주지도 못했고 부담스러웠습니다!
AOA 지민 앙상한 몸매 건강이상설 직접 해명 건강합니다.,먼기사를 기대하고 사진을 올리는지....관종,none,hate,AOA 지민의 마른 몸매가 좋습니다.,기사도 많이 보고 사진도 많이 올리고...주의력 추구자
이 정도면 신드롬 연예인들의 연예인 양준일 이지혜 김이나 신현준도 응원,개그맨 김경민 닮은다고 나만 느낌?,none,none,"증후군의 연예인들은 양용은은 전일 이 씨는 지혜, 김과 신 현준이.",코미디언 김 경민.그런 느낌이 들어선 유일한 사람입니다.
삭발 완료 두데 김인석 약속도 화끈하게 지키는 남자,역시 머리빨도 무시 못하는거임,none,none,나 삭발했어. 저는 김인석의 약속을 지키는 남자입니다.,제 머리를 무시하시면 안 돼요.
올해 초 교제 여성과 재혼 오만석 싱글대디 새출발,한동안 곧휴가 즐겁겠구나 부럽다 만석아,gender,hate,5만 석의 싱글 아빠에게 새로운 출발은 올해 초 한 여성과 재혼했다.,"당신의 방학이 곧 즐거울 것이다.나는, 만석 질투가 난다."
배가본드 배수지 이승기 죽음에 오열 이승기 살아서 지켜봤다.,이정도면 드라마가 아니라 블럭 버스터급영화~~ 왠쥐 베본2가 나올지도.,none,none,이승기 Baegabond 배용준은 수지의 죽음에 그가 살 봤다 흐느끼며 말했다.,이건 드라마가 아니라 블록버스터급 영화야.
김미화 평창올림픽 개막식 중계 논란 신선VS부적절,국민들 대다수가 김미화씨의 진행능력에 감탄했다는데? 여기 비판하는 댓글은 다 블랙리스트 옹호충인가?,others,hate,김미화의 평창올림픽 개막식 중계 논란이 신선 vs 부적절하다.,김미화의 진행 실력에 대부분의 사람들이 놀라워했다. 여기 블랙리스트에 오른 모든 비판 댓글들이 옹호자들인가요?
홍자 지역 비하 논란 사과 진심 사과 반성,홍자가 그말을 진심으로 했다는 식으로 몰아가네...?!전라도는 상종을 못할 인갈들.,others,hate,Hongja에 대한 논란 지역을 사과하다,너 때문에 홍자가 진심으로...?! 전라도와 어울리지 못하는 인갈.
부모님 스트레스다 편스토랑 이혜성 전현무와 공개 열애 고충 고백,서울대 이혜성 >>>>>> 넘사 >>>>>>> 동덕여대 한혜진. 전현무도 결혼할 나인데 현명하게 판단한거임,gender,hate,그것은 부모님에게 스트레스입니다. 편안한 레스토랑 혜성과 전현무. 불륜을 고백하는 거.,서울대학교 이혜성 >> 극복 >> 동덕여자대학교 한혜진 교수. 전현무는 결혼을 하지만 현명한 결정을 내렸어요.
아스달 연대기 장동건 김옥빈 들끓는 욕망커플 눈물범벅 칼끝 대립,김지원빼고 다른 배우들 다 발연기같음....,none,none,장동건과 김옥빈의 들끓는 욕망 커플 눈물검 끝 대결 기록,김지원 씨 빼고 다른 배우들 다 연기를 못하는 것 같아요.
허안나 예비신랑 과 행복한 웨딩사진 술 마시다 고백,우리나라 의학기술의 발달은 실로 놀랍다,none,none,허안나의 신랑으로 축하합니다 결혼 사진.고백 음주 중.,국내에서 의료 기술 개발은 놀랍다.
서유리 최병길 결혼 발표 최초 공개 쏟아진 비스,결혼 축하합니다~ 행복하세요,none,none,서 유리와 최 씨 Byunggil의 결혼식 발표.변했고 쏟아지는.,결혼 축하드려요! 행복하세요!
이승기X심은경 궁합 100만 돌파 로맨스 잔혹사 끊었다.,월트디즈니 만화를 보는듯...,none,none,이승기 X심 1백만 호환성에 대한 로맨스의 잔혹성을 깼다.,그것은 월트 디즈니 만화 보는 것과 같아.
짠내투어 박나래 베테랑 여행설계자 1년 반만 하차 쏟아지는 아쉬움,박명수는? 솔직히 존재의 이유를 못찾겠네,none,hate,솔트투어 베테랑 여행디자이너 박나래가 중도 하차한 것은 1년 6개월에 불과했다.,"박명수 씨는요? 솔직히, 나는 그의 존재 이유를 찾을 수가 없어."
속도위반 아니에요 김민영 서주원 이상형 결혼 성공한 팬,솔직히 개듣보잡 아님?,none,hate,"속도가 안 나요. 김민영, 서주원. 결혼에 성공한 팬.","솔직히, ""개 듣기-보그"" 아니야?"
