title,pororo title,bias,hate
미스터 션샤인 변요한 김태리와 같은 양복 입고 학당 방문 이유는,선샤인 씨가 변요한 김태리와 같은 정장을 입고 학교를 방문한 이유는 그 때문이다.,none,none
극사실주의 현실 가장 보통의 연애 김래원X공효진 16년만의 랑데부,"16년 만의 로맨틱한 현실, 김래원 X공효진",none,hate
손연재 리듬체조 학원 선생님 하고 싶은 일 해서 행복하다.,리듬체조연구소 손연재가 하고 싶은 일을 하면서 기쁘다.,others,hate
김해숙 허스토리 촬영 후 우울증 얻었다.,김해숙의 이야기를 촬영한 뒤 우울했다.,none,none
임현주 아나운서 노브라 챌린지 방송 덕에 낸 용기 자연스런 논의의 창 됐으면,임현주 아나운서의 노브라 챌린지 방송이 만든 자연스러운 토론이라면,none,none
샤이니 온유 클럽 강제추행 무혐의 처분 받았다.,샤이니 온유클럽이 강제추행 혐의로 무혐의 처분을 받았다.,others,hate
프듀2 김사무엘 부 멕시코서 숨진 채 발견 타살 의혹 제기 애도 물결,"제2, 김사무엘, 멕시코 살인 의혹에 대한 애도의 물결",others,hate
슈 동안미모 아찔한 수영복 자태로 시선강탈 밥을 먹을 수가 없네,수영복을 입고 눈길을 끄는 식사를 먹을 수 없다,gender,hate
AOA 지민 앙상한 몸매 건강이상설 직접 해명 건강합니다.,나는 AOA 지민의 강한 몸 건강 이상에 대해 스스로 설명하는 것이 건강하다.,none,hate
이 정도면 신드롬 연예인들의 연예인 양준일 이지혜 김이나 신현준도 응원,"이 시점에서 양준일, 이지혜, 김, 신현준 증후군 연예인들도 응원을 하고 있다.",none,none
삭발 완료 두데 김인석 약속도 화끈하게 지키는 남자,좋은 면도로 김인석의 약속을 지키는 남자,none,none
올해 초 교제 여성과 재혼 오만석 싱글대디 새출발,올해 초 한 여자와 데이트하는 싱글 아빠의 새로운 시작,gender,hate
배가본드 배수지 이승기 죽음에 오열 이승기 살아서 지켜봤다.,배가본드 배수지 이승기의 죽음에서 그를 살아 보았다.,none,none
김미화 평창올림픽 개막식 중계 논란 신선VS부적절,김미화 평창올림픽 개막식 방송 논란,others,hate
홍자 지역 비하 논란 사과 진심 사과 반성,적지대 비하 논란에 대한 진지한 사과,others,hate
부모님 스트레스다 편스토랑 이혜성 전현무와 공개 열애 고충 고백,"스트레스를 받은 편의점 이혜성, 전현무, 공공 로맨스 고백",gender,hate
아스달 연대기 장동건 김옥빈 들끓는 욕망커플 눈물범벅 칼끝 대립,장동군과 아스달연대 김옥빈의 대결,none,none
허안나 예비신랑 과 행복한 웨딩사진 술 마시다 고백,허안나의 신부와 행복한 결혼사진 고백,none,none
서유리 최병길 결혼 발표 최초 공개 쏟아진 비스,서유리의 결혼식을 발표하는 첫 공식 예배,none,none
이승기X심은경 궁합 100만 돌파 로맨스 잔혹사 끊었다.,심은경 이승기가 총 100만 명의 로맨스 잔혹한 역사를 끊었다.,none,none
짠내투어 박나래 베테랑 여행설계자 1년 반만 하차 쏟아지는 아쉬움,베테랑의 짠 투어 디자이너 박나래가 나온 지 1년 반 만이다.,none,hate
속도위반 아니에요 김민영 서주원 이상형 결혼 성공한 팬,속도 위반이 아니다. 김민영 서주원의 이상적인 결혼 팬,none,hate
중관계자 판빙빙 조사받고 귀가한 지 한참 됐다.,무거운 공식 판빙빙에게 조사를 받고 귀가한 지 오래다.,none,none
안경 벗으면 차은우야 한끼줍쇼 이경규 성형 수술 후 자신감,안경을 벗을 때 이경규의 성형 수술과 차은우에 대한 자신감,none,none
누구냐 말도 안돼 신동 31kg 감량 성공 아이돌st 증명사진 공개,31㎏의 능력을 갖춘 성공한 아이돌의 사진을 공개하는 것은 어처구니없다,none,none
11일 정상녹화 나혼자산다 전현무 한혜진 빠진 후폭풍 극복할까,지난 11일 혼자 사는 한혜진 전현무의 여파를 극복하고 싶으신가요?,none,none
전지현 4년 만에 스크린 컴백 가시권 최동훈 감독 신작 마지막 조율,"최동훈 스크린 컴백 비주얼 감독, 4년 만에 전지현 감독",none,hate
키스신 보고 맥주 드링킹 김소연 이상우 알콩달콩 럽스타그램,"김소연, 이상우, 키스신, 맥주 음료수 알콘달롱 업스타그램",none,none
안재현 구혜선 측 여러 문제로 결혼 생활 유지 불가 상의 끝 이혼 결정,안재현 구혜선이 잇따른 문제 끝에 이혼 결정을 내렸다.,gender,hate
아육대 측 츄 머리카락 잡은 무례 범해 사과문 사칭 공식 사과,어린이집에서 추씨의 머리카락에 걸린 무례한 사과를 사칭하는 공식 사과,none,hate
박한별 남편 실명공개 유인석 경찰총장과 직접적 관계 확인,박한별 남편의 실명인 유인석 경찰청장과의 직접적인 관계,none,none
BTS 뷔 폭풍 친화력 어디까지 이순재부터 할리우드 배우까지 다양,이순재부터 할리우드 배우들까지 방탄소년단의 V 폭풍이 우호적인 곳까지,others,hate
미우새 김종국 홍진영 수영장 데이트에 최고 시청률 20 7,미우세 김종국의 홍진영 풀 데이트에서 가장 좋은 시청률 207을 기록했다.,gender,hate
저 아니에요 최은경 신종 코로나 확진자 루머 직접 해명,내가 아니야. 최은경의 새로운 코로나 확인설,none,none
복면가왕 이미쉘 이현경 나영 주병진 반전 존재감,"마스크왕 이현경, 나영, 주병진의 역전",gender,hate
연예가중계 이지혜 현재 임신중 최초 공개,연예인 방송인 이지혜가 임신 중 처음으로 공개되는 모습이다.,none,none
한 방송 겸업 서동주 미 변호사 계속 할 것 얼마나 고생했는데,방송을 이어가며 서동주 변호사를 일하는 게 힘들었다.,none,hate
아시아의 호랑이 류준열 권혁수 아시안게임 축구 金에 감격,아시아 호랑이 류준열 권혁수의 축구 돈,none,none
20억은 와전 마이크로닷 큰아버지도 보증빚 공소시효 남았다.,와이전 마이크로닷의 장남은 물론 보증채무 공소시효가 20억원 남았다.,none,none
공복자들 이수진 치과의사 51세 큰딸 18세 믿기힘든 동안미모,이수진 치과의사의 장녀 51세가 18세였다.,none,hate
할리우드 1세대 오순택 별세 편히 잠드소서 추모 물결,할리우드 1세대 오순택이 편안한 수면과 추모파 속에서 사망했다.,none,none
