title,comment,bias,hate,pororo comment
미스터 션샤인 변요한 김태리와 같은 양복 입고 학당 방문 이유는,김태리 정말 연기잘해 진짜,none,none,김태리는 실제 연기에 정말 능숙하다.
극사실주의 현실 가장 보통의 연애 김래원X공효진 16년만의 랑데부,공효진 발연기나이질생각이읍던데 왜계속주연일까,none,hate,공효진은 연기 나이가 들 것 같았는데 왜 계속 뛰는 거야?
손연재 리듬체조 학원 선생님 하고 싶은 일 해서 행복하다.,누구처럼 돈만 밝히는 저급인생은 살아가지마시길~~ 행복은 머니순이 아니니깐 작은거에 감사하고 항상 좋은일만 가득하길~,others,hate,"다른 사람처럼 돈만 드러내는 저급한 삶에서 살지 말고, 행복은 통화질서가 아니기 때문에 작은 일에 감사하고 항상 좋은 일이 가득하다."
김해숙 허스토리 촬영 후 우울증 얻었다.,일본 축구 져라,none,none,일본의 축구를 제거해라
임현주 아나운서 노브라 챌린지 방송 덕에 낸 용기 자연스런 논의의 창 됐으면,난 절대로 임현주 욕하는인간이랑은 안논다 @.@,none,none,임현주에게 맹세하는 사람과는 절대 놀지 않는다. @
샤이니 온유 클럽 강제추행 무혐의 처분 받았다.,만진건 변하지 않는다 아이돌은 아이돌 좋아하는 여자들한테 이미지가 생명인데 얜 바닥쳤고 같이하는 멤버들도 끼리끼리로 보일듯ㅋㅋㅋㅋ,others,hate,아이돌의 이미지는 아이돌 친화적인 여성들을 위한 삶이지만 바닥에 떨어져 그룹 멤버들이 그 중 하나로 보였다.
프듀2 김사무엘 부 멕시코서 숨진 채 발견 타살 의혹 제기 애도 물결,연예계에 외국인노동자 많네..,others,hate,연예계에는 외국인 노동자가 많다.
슈 동안미모 아찔한 수영복 자태로 시선강탈 밥을 먹을 수가 없네,아이는 대부분 엄마가 원해서낳고 독박육아하고남편은 그냥 따라고는 수준!싫은 내색도 못하고 심지어 부담스러워하더라!,gender,hate,"대부분의 아이들은 엄마가 갖고 싶어서 태어났고, 스스로 키웠고, 그냥 따라왔다! 그들은 그것을 좋아하지 않았고, 부담도 컸다!"
AOA 지민 앙상한 몸매 건강이상설 직접 해명 건강합니다.,먼기사를 기대하고 사진을 올리는지....관종,none,hate,"긴 이야기를 기대하며 사진을 올리는 것, 관중주의"
이 정도면 신드롬 연예인들의 연예인 양준일 이지혜 김이나 신현준도 응원,개그맨 김경민 닮은다고 나만 느낌?,none,none,개그맨 김경민처럼 느껴질 뿐이야?
삭발 완료 두데 김인석 약속도 화끈하게 지키는 남자,역시 머리빨도 무시 못하는거임,none,none,머리를 무시할 수 없다는 사실
올해 초 교제 여성과 재혼 오만석 싱글대디 새출발,한동안 곧휴가 즐겁겠구나 부럽다 만석아,gender,hate,당분간 휴가를 즐길 거예요. 너를 질투하고 있어.
배가본드 배수지 이승기 죽음에 오열 이승기 살아서 지켜봤다.,이정도면 드라마가 아니라 블럭 버스터급영화~~ 왠쥐 베본2가 나올지도.,none,none,이럴 경우 드라마가 아닐 수도 있지만 블록버스터급 영화~ 마우스 2장이 왜 공개될까.
김미화 평창올림픽 개막식 중계 논란 신선VS부적절,국민들 대다수가 김미화씨의 진행능력에 감탄했다는데? 여기 비판하는 댓글은 다 블랙리스트 옹호충인가?,others,hate,국민 대다수가 김미화의 진행 능력을 감탄했다. 블랙리스트를 방어하기 위해 여기서 비판하는 댓글들이 전부인가요?
홍자 지역 비하 논란 사과 진심 사과 반성,홍자가 그말을 진심으로 했다는 식으로 몰아가네...?!전라도는 상종을 못할 인갈들.,others,hate,홍자가 정말 그랬던 것처럼 운전하고 있는 거야? 전라도는 사업화가 불가능하다.
부모님 스트레스다 편스토랑 이혜성 전현무와 공개 열애 고충 고백,서울대 이혜성 >>>>>> 넘사 >>>>>>> 동덕여대 한혜진. 전현무도 결혼할 나인데 현명하게 판단한거임,gender,hate,서울대 이혜성> 남사>> 동덕여대 한혜진이 맡았다. 전현무도 결혼할 사람이지만 현명한 결정을 내렸다.
아스달 연대기 장동건 김옥빈 들끓는 욕망커플 눈물범벅 칼끝 대립,김지원빼고 다른 배우들 다 발연기같음....,none,none,김지원을 제외하고는 다른 모든 배우들이 연기를 하고 있다.
허안나 예비신랑 과 행복한 웨딩사진 술 마시다 고백,우리나라 의학기술의 발달은 실로 놀랍다,none,none,한국 의료기술의 발전은 정말 놀라운 일이다.
서유리 최병길 결혼 발표 최초 공개 쏟아진 비스,결혼 축하합니다~ 행복하세요,none,none,결혼 축하드립니다 행복하세요.
이승기X심은경 궁합 100만 돌파 로맨스 잔혹사 끊었다.,월트디즈니 만화를 보는듯...,none,none,월트 디즈니 만화를 보는 것 같다.
짠내투어 박나래 베테랑 여행설계자 1년 반만 하차 쏟아지는 아쉬움,박명수는? 솔직히 존재의 이유를 못찾겠네,none,hate,박명수? 솔직히 여기 있는 이유를 찾을 수가 없다.
속도위반 아니에요 김민영 서주원 이상형 결혼 성공한 팬,솔직히 개듣보잡 아님?,none,hate,"솔직히 말해서, 넌 개 아니지?"
중관계자 판빙빙 조사받고 귀가한 지 한참 됐다.,무슨상관이냐고 기자양반ㅠ,none,none,그 기자는 무슨 일이야?
안경 벗으면 차은우야 한끼줍쇼 이경규 성형 수술 후 자신감,경규옹이 저 맥락에서 비교 대상을 차은우로 한건 그만큼 차은우를 대표적인 미남이라고 생각한다는 방증이지,none,none,그런 맥락에서 경규온이 비교한 것은 차은우가 전형적으로 잘생긴 남자임을 증명한다.
누구냐 말도 안돼 신동 31kg 감량 성공 아이돌st 증명사진 공개,살빼니까 왜케 느끼하지ㅋㅋ,none,none,내가 왜 살결이 느껴지는지 모르겠다
11일 정상녹화 나혼자산다 전현무 한혜진 빠진 후폭풍 극복할까,장도연 양세형 추가 투입 케미 좋아요 나래와 좋아요,none,none,장도연의 추가 주사가 좋다. 나는 너와 나를 좋아한다
전지현 4년 만에 스크린 컴백 가시권 최동훈 감독 신작 마지막 조율,류준열 좀 그만....,none,hate,류준열을 멈추세요.
키스신 보고 맥주 드링킹 김소연 이상우 알콩달콩 럽스타그램,연기라고해도 그거 정말 남편 입장에서 굉장한 트라우마지..,none,none,공연이라 하더라도 그것은 남편에게 큰 트라우마다.
안재현 구혜선 측 여러 문제로 결혼 생활 유지 불가 상의 끝 이혼 결정,여자가 나이 많으면 이혼율 높은거 RG?,gender,hate,여성이 나이가 들면 이혼률이 높나요?
아육대 측 츄 머리카락 잡은 무례 범해 사과문 사칭 공식 사과,헐.......난 금주의 가수왕...뭐 이런것 처럼 이달의 소녀도 뭘 뽑는건줄 알았네...그룹이름이 이달의 소녀?? ㅋㅋ,none,hate,할. 이번 주 가수 왕을 알고 있었는데... 이달 여자아이가 뭔가를 골라줄 줄 알았다. 그 그룹 이름은 이달의 소녀인가요?
박한별 남편 실명공개 유인석 경찰총장과 직접적 관계 확인,이혼을 하더라도 박한별 직업은 연예인이고 먹고살아야하는데 방송에도 나오지말라하는건 너무한일아닌가요. 본인들 인생아니라고..,none,none,이혼하더라도 박한별의 직업은 연예인이고 방송에서 살아야 하지만 너무 제한적이다. 네 인생이 아니야.
BTS 뷔 폭풍 친화력 어디까지 이순재부터 할리우드 배우까지 다양,친화력보단 급식시절에 찐따취급당해서 어떻게든 인맥쌓고 싶어하는거 같은데 그게 습관돼서,others,hate,친절하기보다는 식사 중에 지방 치료를 받고 싶지만 그게 내 습관이다.
미우새 김종국 홍진영 수영장 데이트에 최고 시청률 20 7,유명인은 결혼 하다가 이혼하면 재상 반띵 해줘야 하는뎅..그냥 혼자 살면서 20대초 모델이나 레이싱걸들 따먹으면서 사는게 훨 낫지..,gender,hate,"연예인들은 혼자 사는 것이 좋고, 이혼할 때 20대 초반이나 레이싱 소녀를 데리고 모델을 찾는 게 좋다."
저 아니에요 최은경 신종 코로나 확진자 루머 직접 해명,몰랏쪄요 관심읍서서^^,none,none,이자 ^^의 책
복면가왕 이미쉘 이현경 나영 주병진 반전 존재감,성질드러운깜둥이년나왓네 이년이 성격만좋앗으면 제1의 한현민이엇을건데,gender,hate,한현민이 2년 동안 성격이 좋았다면 처음이었을 것이다.
연예가중계 이지혜 현재 임신중 최초 공개,명수형 라디오에서 공개하시지...ㅜㅜ,none,none,유명한 라디오에서 공개하자.
한 방송 겸업 서동주 미 변호사 계속 할 것 얼마나 고생했는데,얘는 먼데 방송한다고 난리??? 고쳐도 서세원이야,none,hate,그녀가 멀리서 방송에 대해 소란을 피우고 있나요? 서세원입니다.
아시아의 호랑이 류준열 권혁수 아시안게임 축구 金에 감격,아니 돈도 많을텐데 온라인에서 말고 직접 가서 응원좀 하던지...난 정말 경비만 있었음 가서 일정대로 따라 다니며 응원하고 싶던데....,none,none,"아니, 많은 돈이 있겠지만 온라인에 가서 응원하겠습니다. 나는 정말 일정으로 스스로를 응원하러 가고 싶었다"
20억은 와전 마이크로닷 큰아버지도 보증빚 공소시효 남았다.,당시 신재호 나이 5살이었는데 5살짜리가 사기혐의에 적극적으로 개입한거 아니면 법적으로 마닷이 책임질 일은 없다 . ㅎ,none,none,"당시 신재호는 다섯 살이었고, 5살이 사기 혐의로 활동했다면 매트는 법적으로 책임을 지지 않을 것이다."
공복자들 이수진 치과의사 51세 큰딸 18세 믿기힘든 동안미모,쓰레기 뉴스임.,none,hate,그것은 헛된 소식이다
할리우드 1세대 오순택 별세 편히 잠드소서 추모 물결,삼가 고인의 명복을 빕니다.,none,none,나는 고인의 축복을 기도한다
주진모 향한 조롱 위기 극복 할까,장제원 아들 가릴려고 별짓 다한다 ㅋㅋㅋㅋㅋ,none,none,장재원의 아들을 숨기려고 노력하고 있다.
강한나 오혜원 연극 관람 태도 논란 릴레이 사과 매너 숙지하고 반성,강한나는 좋은기사 올라온게 거의 없네..,none,none,강한나는 아주 좋은 이야기를 내놓지 못했다.
연락두절 오달수 미국행 조근현 성추문 언제쯤 입 열까,오달수 조재현은 인기 많으니까 좀 봐주자~ 달수형님 안나오는 영화 재미없다~,others,none,"오달수, 조재현이 인기가 많으니 영화를 보자."
미우새 배기성 12세 연하 아내 세계 음식 대접 금손 자랑,여자는 얼굴보다 요리실력. 근데 얼굴도 이쁘심.,gender,none,여성들은 얼굴보다 조리 능력이 더 많다 그러나 그들의 얼굴은 아름답다
